,name,star,review,rating,price,address,brand_affiliation
292,Times Square West One Bedroom Apartment,2,,,,"Hell's Kitchen, New York, NY",
293,Today House,2,10,8.8,,New York,
294,Today House on Broadway,2,,,,"New York, NY",
295,TRYP by Wyndham Times Square South,,3781,8.5,316,"Hell's Kitchen, New York, NY",Wyndham
296,Two Bedroom Apartment - Midtown East,2,90,7.3,,"New York, NY",
297,Two Bedroom Apartment - Upper West Side,2,,,,"Upper West Side, New York, NY",
298,Two Bedroom Townhouse,2,16,8.8,,"Harlem, New York, NY",
299,Vanderbilt YMCA,3,5338,7.2,,"Midtown East, New York, NY",
300,Viceroy Central Park New York,,1720,8.3,544,"New York, NY",
302,W New York - Union Square,5,159,8.3,669,"New York, NY",
303,Waldorf Astoria New York,,5696,7.9,605,"Midtown East, New York, NY",
304,Walker Hotel Greenwich Village,4,1553,8.7,525,"Greenwich Village, New York, NY",
306,Warwick New York,5,2946,8.7,530,"New York, NY",
308,Wellington Hotel,3,5345,7.5,359,"New York, NY",
309,Wingate by Wyndham Manhattan Midtown,3,884,7.7,322,"New York, NY",Wyndham
310,World Center Hotel,,1036,8.6,359,"Wall Street - Financial District, New York, NY",
311,Wyndham Garden Chinatown,4,870,8.2,399,"Chinatown, New York, NY",Wyndham
312,Yorkville Apartments -Upper East Side,2,32,6.1,,"Upper East Side, New York, NY",
